ABNA,ABNA_ACCESSDIRECT
RABO,RABO_RCMFILEACT
INGB,ING_FTP
DEUT,DEUT_CHNL
SNSB,SNS_ALL
RBOS,RBS_DA
NWAB,NWB_NVB
