cashForecasting1,TMPBALQ1
sanctionsHoldQueue,OFACHLDQ
authorizationQueue,AUTHTXNQ
holdQueue,TXNHOLDQ
dispositionQueue,DSPMSGQ1
falseSanctionsQueue,OFAC-IN
bulkingQueue,SEPABLKQ
manualRepairQueue,TXNREPRQ
cashForecasting2,DSPMSGQ1
repairQueue,SCTREPR
internalBookingFinalQueue,ERRORQ
reviewQueue,MODSEPAQ
